cell_type,rank,gene,attn_score,gene_type
CD14+ Monocytes,59,STK39,15.24430545171102,protein coding
CD14+ Monocytes,60,LY75,15.23334940742044,protein coding
CD14+ Monocytes,61,DBR1,15.189194679260254,protein coding
CD14+ Monocytes,62,TMEM40,14.898288448651632,protein coding
CD14+ Monocytes,63,NEK4,14.70102310180664,protein coding
CD14+ Monocytes,64,SLC4A10,14.348780204268063,protein coding
CD14+ Monocytes,65,CAMK1,13.625219682852427,protein coding
CD14+ Monocytes,66,CNBP,13.55036735534668,protein coding
CD14+ Monocytes,67,RASSF1,13.13211441040039,protein coding
CD14+ Monocytes,68,SSR3,13.094165802001953,protein coding
CD14+ Monocytes,69,SP3,13.045756119948168,protein coding
CD14+ Monocytes,70,CISH,12.57685899734497,protein coding
CD14+ Monocytes,71,MBD5,12.414942120250902,protein coding
CD14+ Monocytes,72,GTF2E1,12.31056022644043,protein coding
CD14+ Monocytes,73,CAB39,12.211124849319457,protein coding
CD14+ Monocytes,74,ATG7,12.107686996459961,protein coding
CD14+ Monocytes,75,PTCD3,11.941181741378925,protein coding
CD14+ Monocytes,76,HTR1F,11.897554397583008,protein coding
CD14+ Monocytes,77,RAD54L2,11.772365987300873,protein coding
CD14+ Monocytes,78,PLCH2,11.542916836682917,protein coding
CD14+ Monocytes,79,PECR,11.523619719914027,protein coding
CD14+ Monocytes,80,VPS54,11.460067387966983,protein coding
CD14+ Monocytes,81,SLC20A1,11.435366261389948,protein coding
CD14+ Monocytes,82,REV1,11.360935427925803,protein coding
CD14+ Monocytes,83,WDR12,11.298173162672255,protein coding
CD14+ Monocytes,84,MRPL35,10.995006281595964,protein coding
CD14+ Monocytes,85,GYPC,10.897190604891096,protein coding
CD14+ Monocytes,86,NIT2,10.819567680358887,protein coding
CD14+ Monocytes,87,CMTM6,10.796892166137695,protein coding
CD14+ Monocytes,88,WDR6,10.600675582885742,protein coding
CD14+ Monocytes,89,RNF103,10.346090307235718,protein coding
CD14+ Monocytes,90,MYD88,9.981833457946777,protein coding
CD14+ Monocytes,91,EPHA4,9.748063468933106,protein coding
CD14+ Monocytes,92,CYBRD1,9.662180868784587,protein coding
CD14+ Monocytes,93,ATIC,9.422506877354213,protein coding
CD14+ Monocytes,94,ACVR1,9.293263968299417,protein coding
CD14+ Monocytes,95,CTDSP1,8.867887139320374,protein coding
CD14+ Monocytes,96,MRPL44,8.844102144241333,protein coding
CD14+ Monocytes,97,FOXN2,8.653668295253407,protein coding
CD14+ Monocytes,98,ACTR1B,8.581436869345213,protein coding
CD14+ Monocytes,99,C1D,8.290323943735283,protein coding
CD14+ Monocytes,100,SETD5,8.277989387512207,protein coding
Dendritic Cells,1,FEM1C,98.58209228515625,protein coding
Dendritic Cells,2,IQGAP2,90.0631332397461,protein coding
Dendritic Cells,3,FBXO4,77.26424407958984,protein coding
Dendritic Cells,4,CASP3,65.04011535644531,protein coding
Dendritic Cells,5,COPS4,60.857808430989586,protein coding
Dendritic Cells,6,MAP3K1,56.76346206665039,protein coding
Dendritic Cells,7,ANAPC10,54.00666427612305,protein coding
Dendritic Cells,8,C5orf22,53.0331916809082,protein coding
Dendritic Cells,9,BASP1,48.86522674560547,protein coding
Dendritic Cells,10,SNX24,47.58775329589844,protein coding
Dendritic Cells,11,PLAC8,45.75169245402018,protein coding
Dendritic Cells,12,COMMD10,44.71754837036133,protein coding
Dendritic Cells,13,MCTP1,44.66328811645508,protein coding
Dendritic Cells,14,HSD17B4,42.94977951049805,protein coding
Dendritic Cells,15,CCNB1,39.98978805541992,protein coding
Dendritic Cells,16,GZMK,39.8878173828125,protein coding
Dendritic Cells,17,EXOC3,38.1085205078125,protein coding
Dendritic Cells,18,TTC33,36.0908317565918,protein coding
Dendritic Cells,19,RIOK2,35.4981803894043,protein coding
Dendritic Cells,20,KIF3A,34.79255294799805,protein coding
Dendritic Cells,21,DHX29,33.3475456237793,protein coding
Dendritic Cells,22,F2R,33.02083206176758,protein coding
Dendritic Cells,23,BANK1,32.617499907811485,protein coding
Dendritic Cells,24,CCT5,30.22191047668457,protein coding
Dendritic Cells,25,CTSO,30.090553283691406,protein coding
Dendritic Cells,26,NFKB1,29.218286514282227,protein coding
Dendritic Cells,27,CXCL10,28.5567569732666,protein coding
Dendritic Cells,28,UQCRQ,27.36244773864746,protein coding
Dendritic Cells,29,GSTCD,27.314856847127277,protein coding
Dendritic Cells,30,SDHA,25.389846801757812,protein coding
Dendritic Cells,31,ARHGAP10,23.04874038696289,protein coding
Dendritic Cells,32,PDE6B,22.99276795170524,protein coding
Dendritic Cells,33,LMNB1,22.409704208374023,protein coding
Dendritic Cells,34,IL7R,22.16110610961914,protein coding
Dendritic Cells,35,GALNT7,20.72994041442871,protein coding
Dendritic Cells,36,QDPR,19.958807349205017,protein coding
Dendritic Cells,37,GCNT4,19.752517700195312,protein coding
Dendritic Cells,38,COQ2,19.430768966674805,protein coding
Dendritic Cells,39,TNFRSF14,18.58919112063439,protein coding
Dendritic Cells,40,MANBA,17.764634132385254,protein coding
Dendritic Cells,41,MRFAP1L1,17.658779991997612,protein coding
Dendritic Cells,42,TXK,17.637039947509766,protein coding
Dendritic Cells,43,ANKH,17.60537338256836,protein coding
Dendritic Cells,44,NUDT9,17.356482823689777,protein coding
Dendritic Cells,45,HERC5,17.314669291178387,protein coding
Dendritic Cells,46,NDUFC1,17.172155380249023,protein coding
Dendritic Cells,47,INTS12,16.84809748331706,protein coding
Dendritic Cells,48,PANK4,16.473604844383082,protein coding
Dendritic Cells,49,MAD2L1,16.430252075195312,protein coding
Dendritic Cells,50,DCK,16.4152930577596,protein coding
Dendritic Cells,51,SLC30A9,15.81172513961792,protein coding
Dendritic Cells,52,S100P,15.694684823354086,protein coding
Dendritic Cells,53,PDGFC,15.591854095458984,protein coding
Dendritic Cells,54,ALPK1,15.400718212127686,protein coding
Dendritic Cells,55,DGKQ,15.363192970102483,protein coding
Dendritic Cells,56,DNAJB14,15.002575874328613,protein coding
Dendritic Cells,57,IGF2BP2,14.995352864265442,protein coding
Dendritic Cells,58,CD180,14.735607147216797,protein coding
Dendritic Cells,59,USP13,14.712845504283905,protein coding
Dendritic Cells,60,C1orf174,14.409607577112924,protein coding
Dendritic Cells,61,PF4,14.180271784464518,protein coding
Dendritic Cells,62,RASA2,13.959617243363308,protein coding
Dendritic Cells,63,ARSB,13.549623489379883,protein coding
Dendritic Cells,64,AFF4,13.093802452087402,protein coding
Dendritic Cells,65,POLR2B,12.456036249796549,protein coding
Dendritic Cells,66,P2RY14,12.3817966679732,protein coding
Dendritic Cells,67,GMPS,12.354941646258036,protein coding
Dendritic Cells,68,WDR70,12.309854507446289,protein coding
Dendritic Cells,69,PPBP,11.914708455403646,protein coding
Dendritic Cells,70,TLR2,11.897494316101074,protein coding
Dendritic Cells,71,PSMD6,11.754169197577351,protein coding
Dendritic Cells,72,ZMAT3,11.69665914773941,protein coding
Dendritic Cells,73,IQCG,11.552419461987235,protein coding
Dendritic Cells,74,CEP70,11.316692561938845,protein coding
Dendritic Cells,75,NIT2,11.248120316050269,protein coding
Dendritic Cells,76,CLSTN1,11.112300852407044,protein coding
Dendritic Cells,77,CTNNBIP1,11.079677962623867,protein coding
Dendritic Cells,78,STX18,10.827583919871937,protein coding
Dendritic Cells,79,KLHL2,10.819230079650879,protein coding
Dendritic Cells,80,PTPN13,10.733081817626953,protein coding
Dendritic Cells,81,PLCH2,10.606735690856754,protein coding
Dendritic Cells,82,ABHD10,10.582592391386264,protein coding
